Ref,Val,Package,PosX,PosY,Rot,Side
"ACCENT0","Accent","KOBICONN_PJM301DM_JACK_1879502",148.511100,-147.383600,0.000000,bottom
"OUT0","Accent","KOBICONN_PJM301DM_JACK_1879502",139.621100,-147.383600,0.000000,bottom
"RV29","R_Potentiometer_US","9MM_PLS_1879502",148.463000,-57.247700,180.000000,bottom
"RV30","R_Potentiometer_US","9MM_PLS_1879502",148.463000,-77.597000,180.000000,bottom
"RV31","R_Potentiometer_US","9MM_PLS_1879502",148.463000,-97.887700,180.000000,bottom
"RV32","R_Potentiometer_US","9MM_PLS_1879502",148.463000,-118.207700,180.000000,bottom
"TRIG0","","KOBICONN_PJM301DM_JACK_1879502",157.401100,-147.383600,0.000000,bottom
