C1:1
C10:1
C2:1
C3:1
C4:1
C5:1
C8:1
C9:1
CHANNEL-CV0:1
CHANNEL-POT0:1
D1:1
D2:1
D5:1
D6:1
D9:1
F1:1
F2:1
IC1:1
IC4:1
LED1:1
LED2:1
LED3:1
LED4:1
LED5:1
OUTPUT0:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
RESET-CV0:1
RESET0:1
SV1:1
TIME-CV0:1
TIME-POT0:1
U1:1
X1:1
